family,n_trees,N,k,pi0,pi1,mu,q,clock_rate,t_R,concept,n_cogsets,ub_DS,ub_DT,inf_t_DS,inf_t_DT
ST_by_sens,10001,50,3963,0.9880245443337864,0.01197545566621806,0.3920580105923092,1.0000000000000044,0.00675927451216095,10.362633927936784,the_horn_keratinized_skin,12,16.87196416479499,560.6000876043204,74.569,118.668
ST_by_sens,10001,50,3963,0.9752147115832722,0.02478528841672755,0.4362820721751792,0.9999999999999998,0.00675927451216095,10.362633927936784,the_house,13,27.73881765393201,623.9628226426975,124.86,209.631
ST_by_sens,10001,50,3963,0.9836877436272188,0.01631225637278019,0.8362488633319971,0.9999999999999992,0.00675927451216095,10.362633927936784,the_knee,20,9.229956690979714,909.4016051436621,45.709,79.07
ST_by_sens,10001,50,3963,0.9923849078959656,0.00761509210403447,0.3300613216775625,1,0.00675927451216095,10.362633927936784,the_leaf,23,12.027983981915225,1057.5842633625891,59.674,92.422
ST_by_sens,10001,50,3963,0.9928868388332356,0.00711316116676376,0.3625970092461964,0.9999999999999992,0.00675927451216095,10.362633927936784,the_lip_the_lips,23,9.462542767764498,1046.8339982561367,51.18,80.112
ST_by_sens,10001,50,3963,0.9793423179753672,0.02065768202463302,0.36644369387393594,1.0000000000000002,0.00675927451216095,10.362633927936784,the_liver,11,27.68447742697193,527.9022749332714,127.4,208.934
ST_by_sens,10001,50,3963,0.909374986110002,0.09062501388999976,1.0981957298284677,1.0000000000000018,0.00675927451216095,10.362633927936784,the_louse,6,32.42697257821731,290.7917010646479,140.294,280.492
ST_by_sens,10001,50,3963,0.9925459737359372,0.00745402626406125,0.34155338233774524,0.9999999999999984,0.00675927451216095,10.362633927936784,the_lung,23,11.118955104487437,1053.9614078000104,56.601,87.974
ST_by_sens,10001,50,3963,0.9936844035323136,0.00631559646768397,0.5112969294332377,0.9999999999999976,0.00675927451216095,10.362633927936784,the_man_male_human,31,3.9919079513107922,1366.7470737820902,32.744,54.199
ST_by_sens,10001,50,3963,0.9856734701748538,0.01432652982514875,0.2721121991005532,1.0000000000000029,0.00675927451216095,10.362633927936784,the_meat,14,26.643114178561532,670.3470970336125,125.381,196.98
ST_by_sens,10001,50,3963,0.9664586740211542,0.03354132597884598,0.19935984407511145,1.0000000000000002,0.00675927451216095,10.362633927936784,the_moon,7,41.37313833367583,344.74472330598064,351.67,596.447
ST_by_sens,10001,50,3963,0.9961617347423616,0.00383826525763831,0.33917162817469576,1,0.00675927451216095,10.362633927936784,the_mountain,38,3.3339037449281634,1665.2169678437822,31.75,50.604
ST_by_sens,10001,50,3963,0.98869400809607,0.01130599190393122,0.39684724665137455,1.000000000000001,0.00675927451216095,10.362633927936784,the_mouse_or_rat,19,15.625050339012182,884.2880684950487,70.087,111.416
ST_by_sens,10001,50,3963,0.9908491558171472,0.00915084418285246,0.6046767593966296,0.9999999999999996,0.00675927451216095,10.362633927936784,the_mouth,30,5.9793466916437,1341.507520846588,38.319,63.98
ST_by_sens,10001,50,3963,0.996231115358966,0.0037688846410311,0.37275408041815206,0.9999999999999972,0.00675927451216095,10.362633927936784,the_mud,33,2.6219362082029054,1434.5421798824896,28.445,46.295
ST_by_sens,10001,50,3963,0.9769251386646002,0.02307486133539995,0.89520084069184,1.0000000000000002,0.00675927451216095,10.362633927936784,the_nail_fingernail_or_claw,18,13.631815194752576,832.4068183336628,57.356,100.656
ST_by_sens,10001,50,3963,0.990246723069483,0.00975327693051655,0.7078674739712365,0.9999999999999996,0.00675927451216095,10.362633927936784,the_neck,25,4.963699219313943,1110.5347401982754,34.625,59.122
ST_by_sens,10001,50,3963,0.9740555248749204,0.02594447512507942,0.4939047614904838,1,0.00675927451216095,10.362633927936784,the_needle_for_sewing,12,26.38904713609761,574.2759412706906,114.631,194.352
ST_by_sens,10001,50,3963,0.9536550442483518,0.04634495575164146,0.6349911707313216,0.9999999999999932,0.00675927451216095,10.362633927936784,the_nose,11,31.355150041995845,531.9486345837196,143.943,260.862
ST_by_sens,10001,50,3963,0.9549325669286944,0.04506743307129995,0.4222141003005794,0.9999999999999942,0.00675927451216095,10.362633927936784,the_pig,10,36.55098328154845,488.377224748496,211.586,377.507
ST_by_sens,10001,50,3963,0.9845216464836036,0.01547835351639592,0.41065379330479934,0.9999999999999996,0.00675927451216095,10.362633927936784,the_rain,15,20.657148281750512,708.0859512886556,88.843,143.65
ST_by_sens,10001,50,3963,0.988502106509237,0.0114978934907629,0.28835820915914767,1,0.00675927451216095,10.362633927936784,the_road,17,21.763866402175832,804.7466454251953,97.824,151.968
ST_by_sens,10001,50,3963,0.9921514720222756,0.00784852797772217,0.6091530327033969,0.9999999999999978,0.00675927451216095,10.362633927936784,the_root,29,4.34461800150193,1282.2779789340104,33.273,56.028
ST_by_sens,10001,50,3963,0.9867310185507534,0.01326898144924889,0.817736791128364,1.0000000000000022,0.00675927451216095,10.362633927936784,the_rope,26,6.758850173450252,1167.9312822525872,39.145,67.635
ST_by_sens,10001,50,3963,0.989501539648558,0.01049846035144222,0.3669610896272135,1.0000000000000002,0.00675927451216095,10.362633927936784,the_salt,17,15.715838038786433,791.4246170567627,71.059,111.926
ST_by_sens,10001,50,3963,0.9843940227096396,0.01560597729036357,0.7212936106630641,1.000000000000003,0.00675927451216095,10.362633927936784,the_sand,18,10.839562329882698,823.9649402114228,50.998,86.668
ST_by_sens,10001,50,3963,0.9780716322863504,0.0219283677136531,0.852620221448484,1.0000000000000036,0.00675927451216095,10.362633927936784,the_seed,19,13.614633228293037,878.5972309653929,57.675,100.56
ST_by_sens,10001,50,3963,0.9666011566520276,0.03339884334797168,0.9502690217292916,0.9999999999999992,0.00675927451216095,10.362633927936784,the_shit,15,19.017948782133196,705.0528354143021,73.616,132.344
ST_by_sens,10001,50,3963,0.988983208253976,0.01101679174602131,0.6263992189585048,0.9999999999999972,0.00675927451216095,10.362633927936784,the_shoulder,23,7.838967039442566,1039.013659425732,43.469,72.61
ST_by_sens,10001,50,3963,0.9785664283462914,0.02143357165370909,1.1761844249252562,1.0000000000000004,0.00675927451216095,10.362633927936784,the_skin,19,8.17101798296939,859.7521880449756,41.049,74.189
ST_by_sens,10001,50,3963,0.9902112560761211,0.00978874392387709,0.5277446736930075,0.9999999999999982,0.00675927451216095,10.362633927936784,the_sky,20,8.59909577463137,906.7839718030637,46.534,76.112
ST_by_sens,10001,50,3963,0.978146856374388,0.02185314362561052,0.2436718778247689,0.9999999999999984,0.00675927451216095,10.362633927936784,the_smoke,9,34.668914812485504,438.0003593954611,200.898,326.242
ST_by_sens,10001,50,3963,0.9782759362461586,0.02172406375384035,0.4833920916935844,0.999999999999999,0.00675927451216095,10.362633927936784,the_snake,8,23.728544885889995,380.52534474211075,100.824,168.375
ST_by_sens,10001,50,3963,0.9934534587408284,0.00654654125916956,0.48679877874703953,0.999999999999998,0.00675927451216095,10.362633927936784,the_snow,25,4.759397174089162,1108.882970789005,35.484,58.102
