age,simulation,node,y,mcc_prob,first_split
3,39,58,TRUE,1,58
4,39,58,TRUE,1,58
5,39,58,TRUE,1,58
6,39,58,TRUE,0.995,58
7,39,58,TRUE,0.99,58
8,39,58,TRUE,0.745,58
9,39,52,FALSE,0.055,52
1,4,58,TRUE,1,58
10,4,52,FALSE,0.07,52
11,4,98,FALSE,0.035,98
12,4,52,FALSE,0.015,52
13,4,52,FALSE,0.01,52
14,4,52,FALSE,NA,52
15,4,54,FALSE,0.005,54
16,4,54,FALSE,0.02,54
17,4,52,FALSE,0.005,52
2,4,58,TRUE,1,58
3,4,58,TRUE,1,58
4,4,58,TRUE,1,58
5,4,52,TRUE,0.995,52
6,4,58,TRUE,0.905,58
7,4,58,TRUE,0.94,58
8,4,52,FALSE,0.38,52
9,4,52,FALSE,0.25,52
1,40,58,TRUE,1,58
10,40,52,FALSE,0.005,52
11,40,52,TRUE,0.09,52
12,40,52,FALSE,0.005,52
13,40,52,FALSE,0.07,52
14,40,52,FALSE,0.005,52
15,40,74,FALSE,0.005,74
16,40,53,FALSE,0.005,53
17,40,52,FALSE,0.005,52
2,40,58,TRUE,1,58
3,40,58,TRUE,1,58
4,40,60,TRUE,1,60
5,40,58,TRUE,0.97,58
6,40,58,TRUE,0.61,58
7,40,52,TRUE,0.84,52
8,40,58,TRUE,0.745,58
