trait,sens,mean_value,cognate_id,max_value,ratio_value_max,n_traits,mean_outgroup,root_form,mean_root_age
3110,red,3.17,6206,8.214,0.386,31,0.083,NA,8.213838621645293
3111,red,0.86,1871,8.214,0.105,31,0.083,?*ser-,8.213838621645293
3129,right,8.214,6595,8.214,1,28,0.1,*dek̑s-,8.213838621645293
3130,right,7.927,276,8.214,0.965,28,0.1,*h₃reg̑-,8.213838621645293
3131,right,2.745,1238,8.214,0.334,28,0.1,"*pr̥-, *pró, *prí",8.213838621645293
3132,right,2.611,1323,8.214,0.318,28,0.1,NA,8.213838621645293
3133,right,4.025,8717,8.214,0.49,28,0.1,NA,8.213838621645293
3134,right,2.606,3359,8.214,0.317,28,0.1,*seh₁dʰ-,8.213838621645293
3135,right,2.585,1968,8.214,0.315,28,0.1,NA,8.213838621645293
3136,right,2.664,7115,8.214,0.324,28,0.1,*g̑i̯eu̯H- ,8.213838621645293
3137,right,3.37,7014,8.214,0.41,28,0.1,NA,8.213838621645293
3138,right,0.86,2863,8.214,0.105,28,0.1,NA,8.213838621645293
3157,river,7.991,1735,7.991,1,36,0.105,*h₂ebʰ-,8.213838621645293
3158,river,7.148,6197,7.991,0.895,36,0.105,*h₃rei̯H-,8.213838621645293
3159,river,5.288,2647,7.991,0.662,36,0.105,*sreu̯-,8.213838621645293
3160,river,4.64,7856,7.991,0.581,36,0.105,*h₂ep-,8.213838621645293
3161,river,4.349,2649,7.991,0.544,36,0.105,*h₂ekʷ-,8.213838621645293
3162,river,6.455,808,7.991,0.808,36,0.105,NA,8.213838621645293
3163,river,2.606,631,7.991,0.326,36,0.105,*u̯ed-,8.213838621645293
3164,river,5.074,5249,7.991,0.635,36,0.105,*tekʷ-,8.213838621645293
3165,river,5.306,1525,7.991,0.664,36,0.105,*pet-,8.213838621645293
3166,river,4.866,2651,7.991,0.609,36,0.105,*bʰleu̯H-,8.213838621645293
3167,river,1.779,2652,7.991,0.223,36,0.105,*pleh₃-,8.213838621645293
3168,river,1.858,9470,7.991,0.232,36,0.105,*h₁rei̯p-,8.213838621645293
3169,river,2.611,2039,7.991,0.327,36,0.105,NA,8.213838621645293
3170,river,1.054,9691,7.991,0.132,36,0.105,NA,8.213838621645293
3171,river,1.25,2648,7.991,0.156,36,0.105,NA,8.213838621645293
3172,river,2.752,457,7.991,0.344,36,0.105,NA,8.213838621645293
3174,river,2.407,7985,7.991,0.301,36,0.105,NA,8.213838621645293
3175,river,2.51,5677,7.991,0.314,36,0.105,NA,8.213838621645293
3176,river,1.168,1045,7.991,0.146,36,0.105,NA,8.213838621645293
3193,root,8.196,8233,8.196,1,29,0,?*u̯reh₂d-,8.213838621645293
3194,root,2.745,1165,8.196,0.335,29,0,NA,8.213838621645293
3195,root,4.309,5098,8.196,0.526,29,0,NA,8.213838621645293
3196,root,5.856,1613,8.196,0.714,29,0,NA,8.213838621645293
3197,root,6.489,3264,8.196,0.792,29,0,*u̯ei̯(H)-,8.213838621645293
3198,root,2.033,2393,8.196,0.248,29,0,NA,8.213838621645293
3199,root,2.766,9836,8.196,0.338,29,0,NA,8.213838621645293
3200,root,4.56,1873,8.196,0.556,29,0,*k̑ek-,8.213838621645293
3201,root,2.606,633,8.196,0.318,29,0,NA,8.213838621645293
3203,root,3.851,8786,8.196,0.47,29,0,NA,8.213838621645293
3222,rotten,8.152,2877,8.152,1,33,0,*peu̯H-,8.213838621645293
3223,rotten,2.745,1166,8.152,0.337,33,0,*g̑ʰnei̯H-,8.213838621645293
3224,rotten,5.306,3819,8.152,0.651,33,0,?*Ki̯eh₂p-,8.213838621645293
3225,rotten,2.61,281,8.152,0.32,33,0,NA,8.213838621645293
3226,rotten,4.26,1672,8.152,0.523,33,0,*k̑ad-,8.213838621645293
3227,rotten,2.128,8793,8.152,0.261,33,0,NA,8.213838621645293
3228,rotten,2.776,2881,8.152,0.341,33,0,NA,8.213838621645293
3229,rotten,2.957,1048,8.152,0.363,33,0,*bʰreHg-,8.213838621645293
3230,rotten,2.243,6574,8.152,0.275,33,0,NA,8.213838621645293
3231,rotten,2.606,5967,8.152,0.32,33,0,NA,8.213838621645293
