"node","p_node","node_parent","p_parent","tree","trait"
"Lithuanian",0,"water",185,0.009,132,4700
"OldPrussian",0,"water",184,0.026,132,4700
"OldChurchSlavonic",0,"water",191,0,132,4700
"Bulgarian",0,"water",196,0,132,4700
"Macedonian",0,"water",195,0,132,4700
"MacedonianSuho",0,"water",197,0,132,4700
"MacedonianVisoka",0,"water",197,0,132,4700
"SerboCroatian",0,"water",194,0,132,4700
"SloveneEarlyModern",0,"water",192,0,132,4700
"Slovene",0,"water",193,0,132,4700
"SloveneKostel",0,"water",193,0,132,4700
"OldPolish",0,"water",199,0,132,4700
"Polish",0,"water",200,0,132,4700
"Kashubian",0,"water",200,0,132,4700
"Polabian",0,"water",207,0,132,4700
"Slovak",0,"water",202,0,132,4700
"OldCzech",0,"water",201,0,132,4700
"Czech",0,"water",202,0,132,4700
"SorbianUpper",0,"water",208,0,132,4700
"SorbianLower",0,"water",208,0,132,4700
"OldNovgorod",0,"water",203,0,132,4700
"Russian",0,"water",205,0,132,4700
"Belarusian",0,"water",206,0,132,4700
"Ukrainian",0,"water",206,0,132,4700
"Rusyn",0,"water",204,0,132,4700
"Gothic",0,"water",213,0.001,132,4700
"OldIcelandic",0,"water",229,0,132,4700
"Icelandic",0,"water",229,0,132,4700
"Faroese",0,"water",228,0,132,4700
"NorwegianBokmal",0,"water",232,0,132,4700
"NorwegianNynorsk",0,"water",232,0,132,4700
"Elfdalian",0,"water",230,0,132,4700
"OldSwedish",0,"water",227,0,132,4700
"Swedish",0,"water",230,0,132,4700
"Danish",0,"water",231,0,132,4700
"OldSaxon",0,"water",214,0,132,4700
"OldHighGerman",0,"water",215,0,132,4700
"MiddleHighGerman",0,"water",216,0,132,4700
"German",0,"water",219,0,132,4700
"Luxembourgish",0,"water",218,0,132,4700
"GermanBernese",0,"water",219,0,132,4700
"MiddleDutch",0,"water",220,0,132,4700
"Dutch",0,"water",223,0,132,4700
"Flemish",0,"water",223,0,132,4700
"OldFrisian",0,"water",221,0,132,4700
"Frisian",0,"water",222,0,132,4700
"OldEnglish",0,"water",224,0.001,132,4700
"English",0,"water",224,0.001,132,4700
"Latin",0,"water",247,0.004,132,4700
"Romanian",0,"water",267,0.002,132,4700
"MeglenoRomanian",0,"water",267,0.002,132,4700
"DalmatianVegliote",0,"water",255,0,132,4700
"Neapolitan",0,"water",255,0,132,4700
"Italian",0,"water",256,0,132,4700
"Friulian",0,"water",253,0,132,4700
"Ladin",0,"water",252,0,132,4700
"Milanese",0,"water",256,0,132,4700
"SardinianNuoro",0,"water",266,0,132,4700
"SardinianLogudoro",0,"water",266,0,132,4700
"AngloNorman",0,"water",262,0,132,4700
"French",0,"water",265,0,132,4700
"Walloon",0,"water",264,0,132,4700
"OldOccitan",0,"water",263,0,132,4700
"FrancoProvencal",0,"water",265,0,132,4700
"OldCatalan",0,"water",258,0,132,4700
"Catalan",0,"water",258,0,132,4700
"OldSpanish",0,"water",260,0,132,4700
"Spanish",0,"water",260,0,132,4700
"Portuguese",0,"water",261,0,132,4700
"PortugueseBrazilian",0,"water",261,0,132,4700
"Oscan",0,"water",248,0.001,132,4700
"Umbrian",0,"water",248,0.001,132,4700
"Gaulish",0,"water",234,0.008,132,4700
"OldWelsh",0,"water",236,0,132,4700
"MiddleWelsh",0,"water",237,0,132,4700
"WelshNorth",0,"water",237,0,132,4700
"MiddleCornish",0,"water",239,0,132,4700
"LateCornish",0,"water",239,0,132,4700
"MiddleBreton",0,"water",240,0,132,4700
"BretonGwened",0,"water",241,0,132,4700
"BretonTreger",0,"water",241,0,132,4700
"OldIrish",0,"water",243,0,132,4700
"GaelicScottish",0,"water",244,0,132,4700
"GaelicManx",0,"water",244,0,132,4700
"GaelicIrish",0,"water",243,0,132,4700
