"age","simulation","node_cs","node_mcc","cs_prob","mcc_prob"
10,44,65,52,0.885,0.005
12,17,54,52,0.6,0.005
7,7,60,53,0.555,0.11
9,25,52,52,0.525,NA
3,20,52,52,0.78,0.16
10,49,59,52,0.545,0.005
1,26,52,52,0.97,0.375
11,44,66,56,0.775,0.005
4,20,81,65,0.62,0.075
12,12,50,52,NA,0.005
11,49,64,52,0.67,0.005
8,7,78,66,0.525,0.41
10,4,70,52,0.525,0.005
13,17,58,52,0.51,0.005
5,20,52,60,0.68,0.375
12,44,66,52,0.505,0.01
12,30,54,52,0.665,NA
9,7,60,65,0.695,0.08
13,12,37,52,NA,NA
11,4,58,52,0.99,0.005
13,44,58,52,0.68,0.005
12,49,31,52,NA,0.005
1,8,52,52,0.865,0.865
12,4,52,52,0.925,0.005
10,26,59,52,1,0.005
10,35,61,52,0.805,0.005
14,44,58,73,0.69,0.005
13,49,36,52,NA,0.005
10,8,52,52,0.64,0.005
13,4,68,75,0.695,0.005
14,17,17,52,NA,NA
6,20,52,52,0.625,NA
14,4,55,52,0.58,0.005
11,26,52,52,0.835,0.005
13,30,54,52,1,0.005
14,49,56,52,0.525,0.005
11,35,60,52,0.76,0.005
15,17,54,76,0.59,0.005
14,12,37,88,NA,0.005
12,26,59,52,0.505,0.005
11,8,52,54,1,0.005
13,26,61,52,0.635,0.005
12,35,32,52,NA,0.005
15,4,55,52,0.525,0.005
15,49,58,63,0.68,0.005
15,44,66,65,0.525,0.005
14,30,52,67,0.585,0.005
14,26,55,52,0.53,0.005
15,12,35,52,NA,0.005
7,20,66,59,0.7,0.07
16,17,56,72,0.605,0.005
15,26,40,52,NA,0.005
12,8,29,52,NA,0.005
16,49,58,52,0.55,0.005
16,4,50,52,NA,0.005
16,26,47,63,NA,0.005
13,8,64,61,0.56,0.005
16,12,21,52,NA,NA
16,44,67,52,0.685,0.005
8,20,79,52,0.595,0.02
17,26,55,52,0.605,0.005
13,35,60,52,0.55,0.005
17,12,33,79,NA,0.005
15,30,52,70,0.545,0.005
9,20,58,61,0.75,0.005
17,17,42,52,NA,0.005
14,35,30,59,NA,0.005
17,44,50,52,NA,0.005
1,21,52,52,0.605,0.605
17,49,52,69,0.82,0.005
17,4,50,52,NA,0.005
2,44,52,76,0.54,0.54
10,21,56,52,0.73,0.005
16,30,54,52,0.815,0.005
2,17,52,52,0.825,0.825
2,12,52,52,0.57,0.57
2,26,86,52,0.545,0.1
2,49,52,52,0.98,0.495
3,12,52,52,0.59,0.59
3,26,52,52,0.6,0.6
2,4,52,52,0.56,NA
15,35,64,67,0.555,0.005
3,17,52,77,0.87,0.98
3,49,52,53,0.925,0.925
11,21,62,65,0.525,0.005
4,12,79,52,0.82,0.155
3,4,52,52,0.9,0.215
16,35,25,52,NA,0.005
3,44,52,52,0.69,0.455
17,30,62,52,0.995,0.005
12,21,62,52,0.52,0.005
4,44,71,52,0.68,0.68
4,26,78,52,0.61,NA
4,4,52,52,0.945,0.325
13,21,65,52,1,0.005
4,49,52,52,0.78,0.78
2,30,92,52,0.62,0.62
3,30,69,52,0.575,0.16
5,44,58,52,0.665,0.08
5,4,52,52,0.815,0.09
17,35,56,52,0.54,NA
5,26,76,53,0.56,0.175
4,17,52,52,0.525,0.27
14,8,63,84,0.59,0.005
14,21,60,54,1,0.015
5,49,70,52,0.545,0.31
2,35,52,52,0.555,0.195
4,30,52,53,0.61,0.25
5,17,60,52,0.61,NA
6,44,71,52,0.64,0.18
6,26,70,52,0.575,0.315
6,4,75,52,0.645,0.055
6,49,70,66,0.62,0.175
6,17,58,76,0.58,0.055
5,12,64,71,0.81,0.035
3,35,76,52,0.64,0.4
15,8,58,52,1,0.005
5,30,52,52,0.6,0.105
7,26,65,52,0.78,0.005
7,4,67,52,0.515,0.01
7,44,69,52,0.765,0.01
15,21,68,52,0.635,0.005
6,12,52,57,0.77,0.155
4,35,84,52,0.825,0.04
16,8,52,52,1,0.005
6,30,64,55,0.57,0.145
8,4,66,60,0.595,0.015
7,49,52,52,0.57,NA
7,30,64,52,0.535,0.03
7,17,69,52,0.615,0.03
5,35,61,55,0.53,0.065
8,26,70,52,0.625,NA
16,21,68,52,1,0.005
17,8,55,52,0.965,0.005
7,12,65,52,0.765,0.04
8,44,65,55,0.995,0.005
6,35,52,52,0.56,0.135
8,49,61,66,0.505,0.27
8,30,70,53,0.55,0.11
8,12,57,92,0.96,0.005
9,26,59,52,0.89,0.005
2,8,52,52,0.515,0.515
7,35,52,52,0.56,NA
8,17,56,52,0.65,0.04
9,4,52,59,0.995,0.005
1,27,71,90,0.855,0.855
3,8,52,56,0.78,0.28
9,12,3,52,NA,0.005
9,30,52,52,0.695,0.005
9,44,52,52,0.53,0.005
1,40,52,52,0.705,NA
9,17,52,62,0.51,0.005
17,21,52,70,1,0.005
8,35,71,52,0.56,0.005
9,49,52,52,0.575,0.01
