trait,sens,mean_value,cognate_id,max_value,ratio_value_max,n_traits,mean_outgroup,root_form
532,carry,5.004,5343,7.47,0.67,34,0.077,*per-
533,carry,2.283,5330,7.47,0.306,34,0.077,*dʰre⁽g̑⁾ʰ-
534,carry,2.143,5825,7.47,0.287,34,0.077,NA
535,carry,0.888,7422,7.47,0.119,34,0.077,*lembʰ-
536,carry,2.125,6787,7.47,0.284,34,0.077,NA
537,carry,1.581,6363,7.47,0.212,34,0.077,*h₁legʰ-
538,carry,0.225,7752,7.47,0.03,34,0.077,NA
539,carry,1.108,6004,7.47,0.148,34,0.077,NA
540,carry,0.757,5230,7.47,0.101,34,0.077,*kʷels-
562,chest,6.743,2211,6.743,1,37,0.062,*bʰreu̯s-
563,chest,5.004,4015,6.743,0.742,37,0.062,*pe⁽k̑⁾tu-
564,chest,2.664,2217,6.743,0.395,37,0.062,*pstḗn
566,chest,2.499,2213,6.743,0.371,37,0.062,NA
567,chest,5.287,8545,6.743,0.784,37,0.062,NA
568,chest,4.26,3907,6.743,0.632,37,0.062,NA
569,chest,3.578,3740,6.743,0.531,37,0.062,*k̑eh₃(i̯)-
570,chest,1.771,2212,6.743,0.263,37,0.062,NA
571,chest,5.174,3747,6.743,0.767,37,0.062,*peh₂g̑-
572,chest,2.108,9876,6.743,0.313,37,0.062,NA
573,chest,5.104,5924,6.743,0.757,37,0.062,*h₁u̯erH-
574,chest,2.606,4893,6.743,0.386,37,0.062,NA
575,chest,1.835,7199,6.743,0.272,37,0.062,NA
576,chest,0.757,6786,6.743,0.112,37,0.062,NA
577,chest,0.759,6436,6.743,0.113,37,0.062,NA
578,chest,2.885,2215,6.743,0.428,37,0.062,*kreu̯H-
599,claw,5.5,5097,5.5,1,35,0.062,*h₃neg⁽ʷ⁾ʰ-
600,claw,4.349,5228,5.5,0.791,35,0.062,NA
601,claw,3.588,6725,5.5,0.652,35,0.062,*penkʷe
602,claw,4.467,6403,5.5,0.812,35,0.062,NA
603,claw,2.358,5175,5.5,0.429,35,0.062,NA
604,claw,2.32,9134,5.5,0.422,35,0.062,NA
605,claw,3.124,6390,5.5,0.568,35,0.062,NA
606,claw,1.518,6847,5.5,0.276,35,0.062,NA
607,claw,1.588,6517,5.5,0.289,35,0.062,NA
608,claw,2.606,5945,5.5,0.474,35,0.062,NA
609,claw,0.849,5370,5.5,0.154,35,0.062,NA
610,claw,2.664,7103,5.5,0.484,35,0.062,NA
611,claw,0.745,6383,5.5,0.135,35,0.062,NA
612,claw,1.407,5216,5.5,0.256,35,0.062,NA
613,claw,1.104,5205,5.5,0.201,35,0.062,NA
614,claw,0.478,5202,5.5,0.087,35,0.062,NA
634,cloud,6.195,579,6.195,1,40,0.067,*nebʰ-
635,cloud,6.172,760,6.195,0.996,40,0.067,*h₃mei̯gʰ-
636,cloud,5.004,862,6.195,0.808,40,0.067,*(s)neu̯dʰ-
637,cloud,2.31,1117,6.195,0.373,40,0.067,*h₂u̯elk-
638,cloud,3.037,195,6.195,0.49,40,0.067,*u̯elg-
639,cloud,2.56,1308,6.195,0.413,40,0.067,NA
640,cloud,2.83,1596,6.195,0.457,40,0.067,NA
641,cloud,1.789,1222,6.195,0.289,40,0.067,NA
642,cloud,1.626,8503,6.195,0.262,40,0.067,NA
643,cloud,1.447,981,6.195,0.234,40,0.067,NA
644,cloud,1.398,7995,6.195,0.226,40,0.067,NA
645,cloud,0.759,5484,6.195,0.123,40,0.067,?*h₃rei̯H-
646,cloud,0.86,2481,6.195,0.139,40,0.067,NA
647,cloud,0.77,2480,6.195,0.124,40,0.067,*merHk-
648,cloud,2.664,2479,6.195,0.43,40,0.067,NA
674,cold,5.263,982,5.868,0.897,26,0.111,*i̯eg̑-
675,cold,5.868,14,5.868,1,26,0.111,*k̑elH-
676,cold,5.219,1690,5.868,0.889,26,0.111,*h₃eu̯g̑-
677,cold,2.199,2245,5.868,0.375,26,0.111,"?*g̑ʰéi̯-om, *g̑ʰ(i)i̯-ém-, *g̑ʰi-m-"
678,cold,4.349,196,5.868,0.741,26,0.111,*⁽g̑⁾el-
679,cold,4.495,863,5.868,0.766,26,0.111,*srei̯Hg̑-
680,cold,2.739,1118,5.868,0.467,26,0.111,NA
681,cold,4.26,761,5.868,0.726,26,0.111,*stembʰH-
682,cold,2.739,2485,5.868,0.467,26,0.111,?*steu̯d-
683,cold,4.777,5081,5.868,0.814,26,0.111,NA
684,cold,3.172,1463,5.868,0.541,26,0.111,NA
685,cold,5.191,2484,5.868,0.885,26,0.111,NA
686,cold,1.252,8137,5.868,0.213,26,0.111,NA
687,cold,2.606,5078,5.868,0.444,26,0.111,NA
688,cold,2.664,8386,5.868,0.454,26,0.111,NA
689,cold,0.757,8384,5.868,0.129,26,0.111,NA
690,cold,2.553,6541,5.868,0.435,26,0.111,*ken-
691,cold,0.759,371,5.868,0.129,26,0.111,*teh₂-
700,come,6.195,7318,6.195,1,19,0.2,*h₁ei̯-
701,come,5.153,7319,6.195,0.832,19,0.2,*gʷem-
702,come,5.304,1464,6.195,0.856,19,0.2,*h₁er-
703,come,2.957,9635,6.195,0.477,19,0.2,*h₂eg̑- 
