t,family,Delta,value
14.343434343434343,Bantu,T,0.6257191696819706
14.343434343434343,Bantu,R,0.5001621454184197
14.545454545454545,Bantu,T,0.5081508814127182
14.545454545454545,Bantu,R,0.5001316794199048
14.747474747474747,Bantu,T,0.4126728583555535
14.747474747474747,Bantu,R,0.5001069377710172
14.94949494949495,Bantu,T,0.3351344930267407
14.94949494949495,Bantu,R,0.5000868449062003
15.15151515151515,Bantu,T,0.2721650482754101
15.15151515151515,Bantu,R,0.5000705273511986
15.353535353535353,Bantu,T,0.22102712506183525
15.353535353535353,Bantu,R,0.500057275751506
15.555555555555555,Bantu,T,0.17949766262295658
15.555555555555555,Bantu,R,0.5000465140354037
15.757575757575758,Bantu,T,0.14577129788070503
15.757575757575758,Bantu,R,0.5000377743710497
15.959595959595958,Bantu,T,0.11838188294663438
15.959595959595958,Bantu,R,0.5000306768289574
16.161616161616163,Bantu,T,0.09613874894260366
16.161616161616163,Bantu,R,0.5000249128657535
16.363636363636363,Bantu,T,0.07807494540710698
16.363636363636363,Bantu,R,0.5000202319112224
16.565656565656564,Bantu,T,0.06340520515782834
16.565656565656564,Bantu,R,0.5000164304755527
16.767676767676768,Bantu,T,0.05149180726471996
16.767676767676768,Bantu,R,0.500013343303256
16.96969696969697,Bantu,T,0.04181685413346101
16.96969696969697,Bantu,R,0.5000108361892027
17.171717171717173,Bantu,T,0.033959757532481295
17.171717171717173,Bantu,R,0.5000088001444759
17.373737373737374,Bantu,T,0.02757895483921887
17.373737373737374,Bantu,R,0.500007146658419
17.575757575757574,Bantu,T,0.02239706067677864
17.575757575757574,Bantu,R,0.5000058038509139
17.77777777777778,Bantu,T,0.018188808454987486
17.77777777777778,Bantu,R,0.5000047133476172
17.97979797979798,Bantu,T,0.014771257612175608
17.97979797979798,Bantu,R,0.5000038277423198
18.18181818181818,Bantu,T,0.01199584084824571
18.18181818181818,Bantu,R,0.50000310853611
18.383838383838384,Bantu,T,0.009741905627441379
18.383838383838384,Bantu,R,0.50000252446375415
18.585858585858585,Bantu,T,0.00791146918791052
18.585858585858585,Bantu,R,0.5000020501345395
18.78787878787879,Bantu,T,0.006424959048561053
