family,n_trees,N,k,pi0,pi1,q,clock_rate,t_R,ub_DS,ub_DT,inf_t_DT,t,mu,n_cogsets
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,14962924924736703e83,6102143797167416e202,6.10635393258427,0.40404040404040403,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,21275216033526615e74,8676407066442119e193,6.10635393258427,0.6060606060606061,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,30250423602442645e65,12336654475030083e184,6.10635393258427,0.8080808080808081,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,4301193123091821e57,17541021585411696e175,6.10635393258427,1.0101010101010102,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,6115703615895454e48,24940913995984005e166,6.10635393258427,1.2121212121212122,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,8695688716740541e39,3546254064657065e158,6.10635393258427,1.4141414141414141,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,12364097704277603e30,5042284293640228e149,6.10635393258427,1.6161616161616161,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,17580563847838094e21,7169432994459376e140,6.10635393258427,1.8181818181818181,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,25007317686717436e12,10193945138490885e131,6.10635393258427,2.0202020202020203,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,35763359349953167e3,1449438436301389e123,6.10635393258427,2.2222222222222223,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,55476040232.54215,20609015960810145e113,6.10635393258427,2.4242424242424243,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,791.172114494195,2930317895782549e105,6.10635393258427,2.6262626262626263,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,5.073886688106191,41665079917801704e95,6.10635393258427,2.8282828282828283,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,1.3269122295322109,5924199852362485e87,6.10635393258427,3.0303030303030303,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.7187139566598065,8423395313302788e78,6.10635393258427,3.2323232323232323,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.5027176363352747,1197690664970761e70,6.10635393258427,3.4343434343434343,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.3915894721574146,17029509788783284e60,6.10635393258427,3.6363636363636362,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.32175592655631247,2421361486434559e52,6.10635393258427,3.8383838383838382,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.2723994764302509,34428423650928473e42,6.10635393258427,4.040404040404041,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.2348094712450103,4895251037304307e34,6.10635393258427,4.242424242424242,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.2047183517456825,6960446939557914e25,6.10635393258427,4.444444444444445,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.17979877875799843,9898265651035537e16,6.10635393258427,4.646464646464646,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.15867648667913836,14103956889298637e7,6.10635393258427,4.848484848484849,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.14048547611363732,207131408164715.34,6.10635393258427,5.05050505050505,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.12464768932154902,650447.9395374545,6.10635393258427,5.252525252525253,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.11075625606143531,398.86027697869804,6.10635393258427,5.454545454545454,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.09851052983333142,79.86690310246439,6.10635393258427,5.656565656565657,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.08767858339942854,38.820550741580334,6.10635393258427,5.858585858585858,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.07807488733410542,25.887053317678802,6.10635393258427,6.0606060606060606,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.06954664320344944,19.66443049206315,6.10635393258427,6.262626262626262,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.06196516621698936,15.91492656984935,6.10635393258427,6.4646464646464645,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.055220272394151414,13.34397514457549,6.10635393258427,6.666666666666667,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.049216487436552665,11.430484492208725,6.10635393258427,6.8686868686868685,0.5362658086921753,22.241573033707862
ST_by_sens,10001,50,3963,0.9812340369451548,0.018765963054845004,51.79275467289096,0.00675927451216095,10.362633927936784,0.04387038275112883,9.925037019207098,6.10635393258427,7.070707070707071,0.5362658086921753,22.241573033707862
