"tree_age","simulation","min_ess","all_ess_above_thresh"
7,45,42.7,FALSE
8,45,19.1,FALSE
9,45,24.8,FALSE
1,46,443.3,TRUE
10,46,4.2,FALSE
11,46,4.4,FALSE
12,46,10.1,FALSE
13,46,1.5,FALSE
14,46,11.7,FALSE
15,46,15,FALSE
16,46,2.6,FALSE
17,46,11.3,FALSE
2,46,155.4,FALSE
3,46,78.4,FALSE
4,46,71.2,FALSE
5,46,50.5,FALSE
6,46,45.8,FALSE
7,46,48.5,FALSE
8,46,8,FALSE
9,46,12.1,FALSE
1,47,428.3,TRUE
10,47,64.3,FALSE
11,47,56,FALSE
12,47,52.9,FALSE
13,47,4.5,FALSE
14,47,16.7,FALSE
15,47,15.9,FALSE
16,47,10.3,FALSE
17,47,27.3,FALSE
2,47,172.2,FALSE
3,47,94.4,FALSE
4,47,52,FALSE
5,47,50.8,FALSE
6,47,41.2,FALSE
7,47,55.7,FALSE
8,47,30.5,FALSE
9,47,57.6,FALSE
1,48,391,TRUE
10,48,20.3,FALSE
11,48,4.8,FALSE
12,48,8.7,FALSE
13,48,16.8,FALSE
14,48,3.9,FALSE
15,48,2.9,FALSE
16,48,9.7,FALSE
17,48,8.4,FALSE
2,48,193.1,FALSE
3,48,135.7,FALSE
4,48,101.5,FALSE
5,48,72.2,FALSE
6,48,78.5,FALSE
7,48,38,FALSE
8,48,26.8,FALSE
9,48,13.5,FALSE
1,49,501.7,TRUE
10,49,8.6,FALSE
11,49,14,FALSE
12,49,3.1,FALSE
13,49,2.9,FALSE
14,49,25.8,FALSE
15,49,18.9,FALSE
16,49,9.3,FALSE
17,49,10.9,FALSE
2,49,208.2,TRUE
3,49,133.4,FALSE
4,49,62.1,FALSE
5,49,22.8,FALSE
6,49,37.3,FALSE
7,49,24.7,FALSE
8,49,10.8,FALSE
9,49,6.6,FALSE
1,5,546.3,TRUE
10,5,21.5,FALSE
11,5,29.1,FALSE
12,5,29.5,FALSE
13,5,43.4,FALSE
14,5,NA,NA
15,5,2.3,FALSE
16,5,21.7,FALSE
17,5,3.9,FALSE
2,5,176.4,FALSE
3,5,83.2,FALSE
4,5,99.5,FALSE
5,5,63.2,FALSE
6,5,50.8,FALSE
7,5,60.2,FALSE
8,5,39.4,FALSE
9,5,53,FALSE
1,50,221.5,TRUE
10,50,18.2,FALSE
11,50,6.3,FALSE
12,50,14.7,FALSE
13,50,13.5,FALSE
14,50,13,FALSE
15,50,NA,NA
16,50,15.1,FALSE
17,50,17,FALSE
2,50,164.3,FALSE
3,50,109.2,FALSE
4,50,38.9,FALSE
5,50,51.5,FALSE
6,50,38.7,FALSE
7,50,20.8,FALSE
8,50,8.4,FALSE
9,50,23.1,FALSE
1,6,360.9,TRUE
10,6,5.1,FALSE
11,6,5.5,FALSE
12,6,4.6,FALSE
13,6,5.1,FALSE
14,6,6.9,FALSE
15,6,13.7,FALSE
16,6,1.6,FALSE
17,6,3.7,FALSE
2,6,119.8,FALSE
3,6,85,FALSE
4,6,69.6,FALSE
5,6,33.6,FALSE
6,6,48.9,FALSE
7,6,54,FALSE
8,6,55.5,FALSE
9,6,72.5,FALSE
1,7,473.1,TRUE
10,7,6,FALSE
11,7,9.3,FALSE
12,7,7.8,FALSE
13,7,3,FALSE
14,7,3.7,FALSE
15,7,4.1,FALSE
16,7,9.7,FALSE
17,7,2.6,FALSE
2,7,166.2,FALSE
3,7,112.3,FALSE
4,7,48.8,FALSE
5,7,55.4,FALSE
6,7,38.3,FALSE
7,7,20,FALSE
8,7,15.1,FALSE
9,7,6.3,FALSE
1,8,479.2,TRUE
10,8,56.4,FALSE
11,8,96.9,FALSE
12,8,100,FALSE
13,8,108,FALSE
14,8,95.2,FALSE
15,8,95.3,FALSE
16,8,68.4,FALSE
17,8,53.6,FALSE
2,8,178.2,FALSE
3,8,81.1,FALSE
4,8,67.5,FALSE
5,8,55.7,FALSE
6,8,59.8,FALSE
7,8,76.6,FALSE
8,8,72.4,FALSE
9,8,70.5,FALSE
1,9,380,TRUE
10,9,111.1,FALSE
11,9,117.4,FALSE
12,9,116.1,FALSE
13,9,93.5,FALSE
14,9,60.1,FALSE
15,9,82.6,FALSE
16,9,73.4,FALSE
17,9,56.6,FALSE
2,9,191.8,FALSE
3,9,143.2,FALSE
4,9,91.1,FALSE
5,9,53.1,FALSE
6,9,63.3,FALSE
7,9,82.6,FALSE
8,9,82.8,FALSE
9,9,91.4,FALSE
