"node","tree_age","tree_simulation_number","prob_mean","prob_inf","prob_sup"
58,9,26,0.98,0.946,0.994
58,17,15,0,0,0.023
58,4,39,1,0.977,1
58,4,48,0.43,0.361,0.502
58,3,16,0.82,0.758,0.869
58,9,44,0.055,0.029,0.099
58,15,38,0,0,0.023
58,14,2,0.045,0.022,0.086
58,17,29,0.005,0,0.032
58,4,34,0.995,0.968,1
58,14,37,0,0,0.023
58,11,41,0.005,0,0.032
58,8,35,0.945,0.901,0.971
58,1,40,1,0.977,1
58,8,49,0.115,0.076,0.169
58,5,11,1,0.977,1
58,5,43,0.895,0.842,0.932
58,11,50,0.165,0.118,0.225
58,8,8,0.09,0.056,0.141
58,15,42,0.005,0,0.032
58,4,3,1,0.977,1
52,12,19,0.15,0.105,0.209
58,2,15,1,0.977,1
58,3,7,1,0.977,1
58,14,47,0.05,0.026,0.093
58,15,33,0,0,0.023
58,5,34,1,0.977,1
58,10,32,0.695,0.625,0.757
58,2,29,1,0.977,1
58,7,12,1,0.977,1
58,1,22,1,0.977,1
58,1,45,1,0.977,1
58,4,16,0.155,0.109,0.214
58,6,43,0.035,0.015,0.074
58,5,25,0.705,0.636,0.766
58,10,31,0.365,0.299,0.436
58,12,23,0.155,0.109,0.214
58,4,20,0.97,0.933,0.988
58,2,10,1,0.977,1
58,15,37,0,0,0.023
58,9,17,0.775,0.71,0.83
58,6,34,0.975,0.939,0.991
58,3,29,0.985,0.953,0.996
58,3,15,1,0.977,1
58,6,11,0.81,0.747,0.861
58,5,39,1,0.977,1
58,10,45,0.35,0.285,0.421
58,12,46,0.015,0.004,0.047
58,10,40,0,0,0.023
52,13,19,0.175,0.126,0.236
58,5,16,0.42,0.351,0.492
58,16,33,0.02,0.006,0.054
58,10,22,0.225,0.17,0.29
58,5,48,0.975,0.939,0.991
58,9,35,0.125,0.084,0.181
58,12,41,0.165,0.118,0.225
58,11,32,0.065,0.037,0.111
58,9,8,0.825,0.764,0.874
58,14,1,0.005,0,0.032
58,12,50,0.005,0,0.032
58,7,43,0.175,0.126,0.236
58,11,45,0.09,0.056,0.141
58,7,34,0.995,0.968,1
58,16,38,0.005,0,0.032
58,8,12,0.975,0.939,0.991
58,13,14,0.145,0.101,0.203
58,7,11,0.725,0.657,0.784
58,16,42,0.005,0,0.032
58,15,2,0.01,0.002,0.039
58,11,40,0.09,0.056,0.141
58,3,10,0.995,0.968,1
58,5,20,0.16,0.114,0.22
58,4,29,0.995,0.968,1
58,11,22,0.865,0.808,0.908
58,11,31,0.51,0.439,0.581
58,13,46,0.04,0.019,0.08
58,12,28,0.035,0.015,0.074
58,8,34,0.865,0.808,0.908
58,9,12,0.985,0.953,0.996
58,12,32,0.04,0.019,0.08
58,17,33,0,0,0.023
58,4,15,1,0.977,1
58,8,11,0.58,0.508,0.649
58,13,23,0.005,0,0.032
58,17,38,0.005,0,0.032
58,16,6,0.035,0.015,0.074
58,12,45,0.035,0.015,0.074
58,12,40,0.09,0.056,0.141
58,8,43,0.85,0.791,0.895
58,17,24,0,0,0.023
58,6,39,0.995,0.968,1
58,4,10,0.995,0.968,1
58,1,18,1,0.977,1
58,5,29,0.555,0.483,0.625
58,6,48,0.995,0.968,1
58,1,36,0.2,0.148,0.264
58,13,32,0.07,0.04,0.117
58,13,41,0.11,0.072,0.164
58,1,9,1,0.977,1
58,12,31,0.005,0,0.032
58,14,46,0.01,0.002,0.039
58,13,28,0.02,0.006,0.054
