age,simulation,node,y,cs_prob,first_split
14,28,52,TRUE,0.855,52
15,28,52,TRUE,0.79,52
16,28,52,TRUE,0.965,52
17,28,52,TRUE,0.86,52
2,28,52,TRUE,0.72,52
3,28,52,TRUE,1,52
4,28,52,TRUE,0.87,52
5,28,52,TRUE,0.805,52
6,28,52,TRUE,0.985,52
7,28,52,TRUE,0.99,52
8,28,52,TRUE,0.875,52
9,28,52,TRUE,0.63,52
1,29,52,TRUE,1,52
10,29,52,TRUE,0.785,52
11,29,73,TRUE,0.645,73
12,29,74,TRUE,0.77,74
13,29,62,TRUE,0.815,62
14,29,52,FALSE,0.545,52
15,29,73,TRUE,0.75,73
17,29,58,TRUE,0.835,58
2,29,52,TRUE,1,52
3,29,52,TRUE,0.985,52
4,29,52,TRUE,0.995,52
5,29,52,TRUE,0.555,52
6,29,52,TRUE,0.945,52
7,29,52,TRUE,0.955,52
8,29,52,TRUE,0.88,52
9,29,52,TRUE,0.645,52
1,3,52,TRUE,1,52
10,3,78,FALSE,0.525,78
11,3,76,FALSE,0.54,76
12,3,65,TRUE,0.71,65
13,3,72,TRUE,0.9,72
14,3,68,TRUE,0.95,68
15,3,74,TRUE,0.59,74
16,3,68,TRUE,0.91,68
17,3,68,FALSE,0.615,68
2,3,52,TRUE,1,52
3,3,52,TRUE,1,52
4,3,52,TRUE,1,52
5,3,52,TRUE,0.995,52
6,3,52,TRUE,0.985,52
7,3,52,TRUE,0.99,52
8,3,52,TRUE,0.825,52
9,3,52,TRUE,0.995,52
1,30,52,TRUE,1,52
10,30,52,TRUE,0.95,52
11,30,52,TRUE,0.685,52
12,30,70,TRUE,0.64,70
13,30,72,TRUE,0.585,72
14,30,71,TRUE,0.505,71
15,30,66,TRUE,0.6,66
16,30,66,TRUE,0.915,66
17,30,52,TRUE,0.63,52
2,30,52,TRUE,1,52
3,30,52,TRUE,0.985,52
4,30,52,TRUE,1,52
5,30,52,TRUE,1,52
6,30,52,TRUE,1,52
7,30,52,TRUE,0.96,52
8,30,52,TRUE,0.98,52
9,30,52,TRUE,0.755,52
1,31,52,TRUE,0.995,52
10,31,65,TRUE,0.51,65
11,31,52,TRUE,0.51,52
12,31,70,FALSE,0.51,70
13,31,74,TRUE,0.505,74
14,31,71,FALSE,0.565,71
15,31,67,TRUE,0.73,67
16,31,57,TRUE,0.91,57
17,31,56,TRUE,0.92,56
2,31,52,TRUE,1,52
3,31,52,TRUE,0.995,52
4,31,81,FALSE,0.85,81
5,31,52,TRUE,0.995,52
6,31,52,TRUE,1,52
7,31,52,TRUE,0.6,52
8,31,79,FALSE,0.645,79
9,31,52,FALSE,0.57,52
1,32,52,TRUE,1,52
10,32,52,TRUE,0.695,52
11,32,52,FALSE,0.52,52
12,32,71,FALSE,0.545,71
13,32,73,TRUE,0.535,73
14,32,71,TRUE,0.55,71
15,32,75,TRUE,0.59,75
16,32,52,TRUE,0.625,52
17,32,68,FALSE,0.53,68
2,32,52,TRUE,1,52
3,32,52,TRUE,1,52
4,32,52,TRUE,1,52
5,32,52,TRUE,1,52
6,32,52,TRUE,1,52
7,32,52,TRUE,1,52
8,32,52,TRUE,1,52
9,32,52,TRUE,0.58,52
1,33,52,TRUE,0.935,52
10,33,52,FALSE,0.74,52
11,33,52,TRUE,0.625,52
12,33,52,FALSE,0.56,52
13,33,75,TRUE,0.635,75
14,33,70,TRUE,0.535,70
15,33,68,FALSE,0.52,68
16,33,67,FALSE,0.54,67
17,33,61,TRUE,1,61
2,33,52,TRUE,0.995,52
3,33,52,TRUE,0.725,52
4,33,52,TRUE,0.985,52
5,33,52,TRUE,0.96,52
6,33,52,TRUE,0.92,52
7,33,52,TRUE,0.87,52
8,33,78,FALSE,0.575,78
9,33,52,FALSE,0.7,52
1,34,52,TRUE,1,52
10,34,65,TRUE,0.73,65
11,34,72,FALSE,0.515,72
12,34,65,TRUE,0.72,65
13,34,72,FALSE,0.755,72
14,34,52,TRUE,0.57,52
15,34,69,TRUE,0.89,69
16,34,52,TRUE,0.6,52
17,34,52,TRUE,0.925,52
2,34,52,TRUE,1,52
3,34,52,TRUE,1,52
4,34,52,TRUE,0.995,52
5,34,52,TRUE,1,52
6,34,52,TRUE,0.975,52
7,34,52,TRUE,0.995,52
8,34,52,TRUE,0.865,52
9,34,52,TRUE,0.905,52
1,35,52,TRUE,1,52
10,35,52,TRUE,0.795,52
11,35,75,FALSE,0.6,75
12,35,52,TRUE,0.985,52
13,35,71,TRUE,0.615,71
14,35,52,TRUE,0.56,52
15,35,68,TRUE,0.56,68
16,35,57,TRUE,0.95,57
17,35,52,TRUE,0.81,52
2,35,52,TRUE,0.96,52
3,35,52,TRUE,1,52
4,35,52,TRUE,1,52
5,35,52,TRUE,0.95,52
6,35,52,TRUE,0.97,52
7,35,52,TRUE,0.915,52
8,35,52,TRUE,0.945,52
9,35,78,FALSE,0.655,78
1,36,89,FALSE,0.755,89
10,36,52,TRUE,0.575,52
11,36,52,TRUE,0.545,52
12,36,52,TRUE,0.635,52
13,36,70,FALSE,0.69,70
14,36,52,TRUE,0.735,52
15,36,71,FALSE,0.515,71
17,36,58,TRUE,0.925,58
2,36,52,TRUE,1,52
3,36,87,FALSE,0.74,87
4,36,52,TRUE,0.515,52
5,36,52,TRUE,0.675,52
6,36,52,TRUE,0.595,52
7,36,73,FALSE,0.505,73
8,36,70,TRUE,0.645,70
9,36,52,TRUE,0.6,52
1,37,52,TRUE,1,52
10,37,70,TRUE,0.65,70
11,37,52,TRUE,0.765,52
12,37,52,TRUE,0.99,52
13,37,69,FALSE,0.605,69
14,37,68,FALSE,0.62,68
15,37,72,FALSE,0.595,72
16,37,68,FALSE,0.55,68
17,37,52,TRUE,0.92,52
2,37,52,TRUE,0.975,52
3,37,52,TRUE,0.99,52
4,37,52,TRUE,0.99,52
5,37,52,TRUE,0.945,52
6,37,52,TRUE,0.995,52
7,37,52,TRUE,0.99,52
8,37,52,TRUE,0.615,52
9,37,80,TRUE,0.585,80
1,38,52,TRUE,1,52
10,38,52,TRUE,0.61,52
11,38,67,TRUE,0.915,67
12,38,66,FALSE,0.65,66
13,38,68,TRUE,0.625,68
