age,simulation,node,y,hipstr_prob,first_split
5,44,58,TRUE,0.894,58
6,44,58,TRUE,0.889,58
7,44,58,TRUE,0.592,58
8,44,58,TRUE,0.926,58
9,44,53,FALSE,0.352,53
1,45,58,TRUE,1,58
10,45,59,FALSE,0.485,59
11,45,61,FALSE,0.041,61
12,45,68,FALSE,0.045,68
13,45,60,FALSE,0.016,60
14,45,53,FALSE,0.008,53
15,45,58,FALSE,0.004,58
16,45,52,FALSE,0.009,52
17,45,53,FALSE,0.001,53
2,45,58,TRUE,0.999,58
3,45,58,TRUE,1,58
4,45,58,TRUE,0.988,58
5,45,58,TRUE,1,58
6,45,58,TRUE,0.968,58
7,45,58,TRUE,0.99,58
8,45,58,TRUE,0.655,58
9,45,58,TRUE,0.768,58
1,46,58,TRUE,0.998,58
10,46,60,TRUE,0.427,60
11,46,60,FALSE,0.106,60
12,46,53,FALSE,0.131,53
13,46,58,TRUE,0.049,58
14,46,60,TRUE,0.015,60
15,46,59,FALSE,0.001,59
16,46,69,FALSE,0,69
17,46,61,FALSE,0,61
2,46,58,TRUE,0.948,58
3,46,58,TRUE,0.905,58
4,46,52,FALSE,0.541,52
5,46,58,TRUE,0.49,58
6,46,52,FALSE,0.503,52
7,46,58,TRUE,0.763,58
8,46,58,TRUE,0.337,58
9,46,53,FALSE,0.515,53
1,47,58,TRUE,0.998,58
10,47,53,FALSE,0.458,53
11,47,63,FALSE,0.005,63
12,47,52,FALSE,0.087,52
13,47,55,FALSE,0.021,55
14,47,58,TRUE,0.047,58
15,47,55,FALSE,0,55
16,47,60,FALSE,0,60
17,47,60,FALSE,0,60
2,47,58,TRUE,0.997,58
3,47,58,TRUE,0.953,58
4,47,58,TRUE,0.91,58
5,47,58,TRUE,0.973,58
6,47,58,TRUE,0.897,58
7,47,58,TRUE,0.383,58
8,47,60,TRUE,0.431,60
9,47,58,TRUE,0.455,58
1,48,58,TRUE,0.581,58
10,48,59,FALSE,0.068,59
11,48,61,TRUE,0.041,61
12,48,64,FALSE,0.015,64
13,48,58,TRUE,0.046,58
14,48,59,FALSE,0.002,59
15,48,58,FALSE,0,58
16,48,68,FALSE,0,68
17,48,60,FALSE,0,60
2,48,58,TRUE,0.997,58
3,48,58,TRUE,0.785,58
4,48,52,FALSE,0.48,52
5,48,58,TRUE,0.967,58
6,48,58,TRUE,0.994,58
7,48,53,FALSE,0.743,53
8,48,52,FALSE,0.696,52
9,48,58,TRUE,0.156,58
1,49,58,TRUE,0.908,58
10,49,58,TRUE,0.463,58
11,49,60,FALSE,0.03,60
12,49,53,FALSE,0.033,53
13,49,61,FALSE,0.022,61
14,49,60,FALSE,0.009,60
15,49,59,FALSE,0.001,59
16,49,75,FALSE,0,75
17,49,61,FALSE,0,61
2,49,58,TRUE,0.983,58
3,49,58,TRUE,0.51,58
4,49,60,TRUE,0.997,60
5,49,52,FALSE,0.775,52
6,49,58,TRUE,0.999,58
7,49,58,TRUE,0.528,58
8,49,53,FALSE,0.473,53
9,49,58,TRUE,0.368,58
1,5,58,TRUE,0.999,58
10,5,58,TRUE,0.342,58
11,5,58,TRUE,0.815,58
12,5,54,FALSE,0.032,54
13,5,58,TRUE,0.104,58
14,5,52,FALSE,0.01,52
15,5,70,FALSE,0,70
16,5,52,FALSE,0.004,52
17,5,57,FALSE,0,57
2,5,58,TRUE,0.999,58
3,5,58,TRUE,1,58
4,5,58,TRUE,0.997,58
5,5,58,TRUE,0.917,58
6,5,58,TRUE,0.987,58
7,5,58,TRUE,0.999,58
8,5,58,TRUE,0.825,58
9,5,58,TRUE,0.739,58
1,50,58,TRUE,0.998,58
10,50,58,TRUE,0.535,58
11,50,58,TRUE,0.142,58
12,50,53,FALSE,0.028,53
13,50,56,FALSE,0.014,56
14,50,64,FALSE,0,64
15,50,52,FALSE,0.008,52
16,50,59,FALSE,0.001,59
17,50,58,TRUE,0.011,58
2,50,58,TRUE,1,58
3,50,58,TRUE,1,58
4,50,58,TRUE,0.712,58
5,50,58,TRUE,0.675,58
6,50,58,TRUE,0.561,58
7,50,58,TRUE,0.646,58
8,50,52,FALSE,0.211,52
9,50,52,FALSE,0.255,52
1,6,58,TRUE,0.996,58
10,6,60,TRUE,0.313,60
11,6,52,FALSE,0.123,52
12,6,58,TRUE,0.165,58
13,6,58,TRUE,0.185,58
14,6,58,TRUE,0.026,58
15,6,52,FALSE,0,52
16,6,60,FALSE,0,60
17,6,57,FALSE,0,57
2,6,58,TRUE,0.998,58
3,6,58,TRUE,0.992,58
4,6,58,TRUE,0.89,58
5,6,58,TRUE,0.696,58
6,6,58,TRUE,0.992,58
7,6,58,TRUE,0.997,58
8,6,58,TRUE,0.542,58
9,6,58,TRUE,0.374,58
1,7,58,TRUE,0.999,58
10,7,58,TRUE,0.776,58
