"age","simulation","node_cs","node_mcc","cs_prob","mcc_prob"
13,41,70,52,0.71,0.01
15,37,72,83,0.595,0.005
17,32,68,52,0.53,0.005
15,46,65,52,0.565,0.005
15,1,60,52,1,0.005
14,50,69,52,0.645,0.005
14,41,67,52,0.69,0.005
16,23,59,75,1,0.005
16,14,52,52,0.525,0.005
16,28,52,52,0.965,0.005
17,19,59,52,1,0.005
2,32,52,58,1,1
16,37,68,52,0.55,0.005
16,1,57,52,0.69,0.005
15,50,57,84,1,0.005
16,46,59,52,1,0.005
3,32,52,58,1,1
17,23,52,52,0.79,0.005
2,19,52,58,1,1
17,14,68,52,0.98,0.005
16,50,70,52,0.695,0.005
17,28,52,52,0.86,0.005
17,37,52,52,0.92,0.005
17,1,67,52,0.555,0.005
15,41,68,52,0.915,0.005
17,46,56,52,0.57,NA
4,32,52,58,1,1
17,50,65,52,0.665,0.005
3,19,52,58,1,1
2,28,52,52,0.72,0.72
2,46,52,52,0.93,0.93
2,23,52,58,1,1
2,37,52,52,0.975,0.975
16,41,69,52,0.58,0.005
2,1,52,52,0.99,0.99
2,14,52,58,1,1
5,32,52,58,1,1
4,19,52,58,1,1
2,50,52,58,1,1
3,23,52,58,1,1
3,1,52,58,1,1
6,32,52,58,1,1
3,28,52,52,1,0.495
17,41,52,52,0.635,0.005
3,46,52,52,0.85,0.85
5,19,52,58,1,1
3,37,52,52,0.99,0.99
3,14,52,52,0.88,0.88
7,32,52,58,1,1
3,50,52,58,1,1
4,1,52,52,0.855,0.855
4,23,52,58,1,1
4,46,90,60,0.52,0.965
2,41,52,52,1,1
6,19,52,58,0.915,0.915
4,28,52,52,0.87,0.87
8,32,52,58,1,1
3,41,52,58,1,1
5,46,52,52,1,0.49
4,14,52,58,0.97,0.97
4,50,52,58,0.745,0.745
5,1,52,58,0.81,0.81
7,19,52,58,0.995,0.995
4,37,52,58,0.99,0.99
4,41,52,52,1,0.42
6,46,85,52,0.525,0.525
5,28,52,58,0.805,0.805
5,23,52,52,0.74,0.74
9,32,52,52,0.58,0.17
5,37,52,52,0.945,0.945
5,14,52,58,0.98,0.98
6,1,52,52,0.92,0.1
5,41,52,52,0.99,0.99
5,50,52,52,0.695,0.695
8,19,52,58,0.795,0.795
6,37,52,58,0.995,0.995
6,23,87,52,0.505,0.505
7,46,52,52,0.76,0.76
7,1,52,58,0.785,0.785
1,33,52,52,0.935,0.935
6,41,52,58,0.94,0.94
9,19,52,60,0.83,0.83
6,14,52,52,0.52,0.52
6,28,52,58,0.985,0.985
7,37,52,58,0.99,0.99
1,2,52,52,1,1
8,46,67,52,0.84,0.215
8,37,52,52,0.615,0.615
7,41,52,58,0.87,0.87
8,1,75,52,0.73,0.18
6,50,52,52,0.565,0.565
7,23,52,52,0.53,0.14
7,14,52,52,0.92,0.92
10,33,52,52,0.74,0.74
7,28,52,58,0.99,0.99
9,37,80,58,0.585,0.485
8,41,52,58,0.71,0.71
8,23,52,58,1,1
9,1,52,58,0.8,0.8
7,50,52,58,0.655,0.655
9,46,52,52,0.525,0.525
1,38,52,52,1,1
9,41,52,58,0.505,0.505
8,28,52,52,0.875,0.875
8,14,52,58,0.995,0.995
11,33,52,52,0.625,0.38
10,2,52,59,0.61,0.175
1,42,52,52,0.51,0.51
1,10,52,52,1,1
9,23,52,52,0.51,0.03
10,38,52,52,0.61,0.03
9,14,52,52,0.915,0.915
8,50,52,52,0.83,NA
9,28,52,58,0.63,0.63
10,42,52,60,0.515,0.025
12,33,52,52,0.56,0.145
1,47,52,58,1,1
1,24,52,58,1,1
1,29,52,52,1,1
9,50,52,52,0.795,NA
11,38,67,52,0.915,NA
11,2,65,58,0.585,0.455
13,33,75,52,0.635,0.005
10,10,52,52,0.69,NA
11,42,66,52,0.54,0.095
10,29,52,58,0.785,0.785
10,47,62,53,0.51,0.5
14,33,70,52,0.535,0.005
10,24,52,61,0.595,0.595
12,2,74,52,0.62,0.11
1,6,52,52,0.995,0.995
11,47,71,52,0.705,0.005
12,42,69,52,0.68,0.005
11,29,73,59,0.645,0.1
11,10,66,59,0.61,0.05
15,33,68,83,0.52,0.005
1,15,52,58,1,1
12,47,65,62,0.66,0.005
12,10,52,59,0.665,0.025
10,6,68,52,0.57,0.07
11,24,73,57,0.775,0.165
13,2,62,52,0.505,NA
13,47,52,68,0.515,0.005
12,29,74,52,0.77,0.025
13,42,71,71,0.64,0.005
16,33,67,52,0.54,0.005
12,38,66,52,0.65,0.01
10,15,52,52,0.635,0.635
13,29,62,52,0.815,0.005
13,10,68,58,0.505,0.175
12,24,68,52,0.645,0.005
14,47,64,52,0.83,0.005
17,33,61,52,1,0.005
11,6,64,52,1,NA
11,15,52,58,0.505,0.005
14,42,67,52,0.56,0.005
13,38,68,59,0.625,0.005
2,33,52,58,0.995,0.995
14,29,52,52,0.545,NA
13,24,74,52,0.63,0.01
14,10,68,52,0.535,0.005
14,2,52,52,0.665,0.005
14,38,69,64,0.625,0.005
15,29,73,52,0.75,0.005
12,15,72,52,0.695,0.125
15,2,69,52,0.535,0.005
12,6,77,52,0.55,0.145
15,10,52,52,0.93,NA
15,42,66,52,0.63,0.005
3,33,52,52,0.725,0.725
15,47,52,92,1,0.005
15,38,69,52,0.675,NA
16,29,30,67,NA,0.005
14,24,68,59,0.65,0.03
13,15,67,83,0.545,0.015
17,29,58,52,0.835,0.005
16,38,52,52,1,0.005
16,2,52,52,0.585,0.005
14,15,73,52,0.525,0.09
16,42,52,52,0.535,0.005
13,6,52,52,0.69,0.085
16,47,66,52,0.535,0.005
2,29,52,52,1,1
17,38,65,52,0.555,0.005
4,33,52,58,0.985,0.985
17,2,66,52,0.52,0.005
15,15,68,52,0.52,0.005
15,24,68,52,0.505,0.005
16,10,66,52,0.81,0.005
2,38,52,52,0.915,0.915
3,29,52,52,0.985,0.985
16,15,67,52,0.915,0.005
17,47,59,96,1,0.005
4,29,52,52,0.995,0.995
14,6,68,52,0.635,0.005
3,38,52,58,1,1
17,42,66,52,0.72,0.005
17,15,67,55,0.59,0.005
2,2,52,52,1,1
16,24,52,52,0.525,0.005
4,38,52,52,0.66,0.115
5,33,52,58,0.96,0.96
17,10,69,52,0.515,NA
2,47,52,52,1,1
3,2,52,58,1,1
2,15,52,58,1,1
15,6,71,52,0.685,0.005
5,29,52,92,0.555,0.415
2,42,52,52,0.895,0.895
5,38,52,58,0.995,0.995
2,10,52,58,1,1
4,2,52,52,0.58,0.58
3,47,52,58,0.97,0.97
3,42,52,58,0.92,0.92
17,24,52,52,1,0.005
6,33,52,52,0.92,0.92
3,10,52,52,0.995,0.995
3,15,52,52,1,1
6,29,52,58,0.945,0.945
16,6,68,52,0.57,0.005
6,38,81,52,0.6,0.6
5,2,52,58,0.985,0.985
4,47,52,52,0.94,0.94
4,42,52,60,0.765,0.765
7,29,52,58,0.955,0.955
2,24,52,52,0.995,0.995
4,10,52,52,0.995,0.995
4,15,52,58,1,1
7,33,52,60,0.87,0.87
5,47,52,58,0.985,0.985
5,42,52,58,0.66,0.66
6,2,52,58,0.815,0.815
7,38,52,52,0.61,0.61
17,6,62,52,1,0.005
3,24,52,52,0.95,0.95
6,42,87,52,0.655,0.135
8,29,52,58,0.88,0.88
6,47,52,58,0.885,0.885
4,24,52,58,0.835,0.835
7,2,52,52,0.64,0.64
5,15,52,58,1,1
5,10,52,58,0.98,0.98
8,33,78,60,0.575,0.73
8,38,80,52,0.51,0.235
2,6,52,58,1,1
7,47,52,58,0.54,0.42
9,29,52,60,0.645,0.645
8,2,52,58,0.955,0.955
9,33,52,54,0.7,0.7
5,24,52,58,0.975,0.975
6,10,52,58,1,1
7,42,52,59,0.505,0.52
9,2,52,58,0.97,0.97
1,34,52,58,1,1
6,15,52,58,0.98,0.98
6,24,52,52,0.59,0.59
3,6,52,58,0.995,0.995
9,38,52,52,0.595,0.02
1,20,52,58,1,1
10,34,65,59,0.73,0.34
1,3,52,52,1,1
7,15,52,58,0.985,0.985
8,47,52,60,0.69,0.465
8,42,70,52,0.735,0.13
10,20,52,62,0.505,0.24
7,10,52,52,0.86,0.265
7,24,52,58,0.87,0.87
4,6,52,58,0.885,0.885
8,15,52,58,0.765,0.765
1,39,52,58,1,1
11,34,72,52,0.515,0.025
8,10,52,52,0.94,0.94
8,24,52,58,0.81,0.81
9,15,72,60,0.525,0.25
9,42,52,52,0.605,NA
11,20,74,53,0.635,0.115
9,47,81,52,0.535,0.42
9,24,52,59,0.58,0.4
5,6,52,58,0.735,0.735
10,3,78,61,0.525,0.05
12,34,65,52,0.72,NA
10,39,67,52,0.77,NA
1,25,52,52,1,1
1,43,52,52,0.98,0.98
9,10,69,52,0.66,0.405
1,48,52,52,0.55,0.55
1,16,52,52,0.825,0.825
11,3,76,52,0.54,0.08
6,6,52,58,0.98,0.98
11,39,72,53,0.54,0.16
10,43,66,52,0.6,NA
10,48,71,52,0.55,0.065
12,20,76,52,0.53,0.115
12,3,65,52,0.71,0.025
7,6,52,58,1,1
12,39,52,57,0.685,0.005
10,25,52,58,0.62,0.62
1,11,52,52,1,1
11,48,70,61,0.65,0.055
13,34,72,53,0.755,0.015
8,6,52,52,0.55,0.55
13,3,72,52,0.9,0.005
13,39,73,52,0.51,0.005
10,11,52,52,0.555,NA
12,48,70,52,0.54,0.01
10,16,52,52,0.535,0.395
11,43,72,58,0.78,0.405
9,6,52,62,0.595,0.11
11,11,71,52,0.59,0.01
13,48,52,52,0.6,0.04
13,20,69,62,0.545,0.005
14,3,68,52,0.95,0.005
11,25,73,53,0.67,0.015
1,7,52,58,1,1
12,43,75,52,0.675,0.01
11,16,66,52,0.51,NA
12,11,69,62,0.505,0.005
14,34,52,52,0.57,0.005
10,7,52,58,0.74,0.74
12,16,52,52,0.685,NA
13,11,68,65,0.605,0.005
12,25,71,52,0.71,0.02
14,48,65,54,0.56,0.005
14,39,68,52,0.58,0.015
15,3,74,52,0.59,0.005
13,25,69,59,0.6,0.005
14,11,68,52,0.515,NA
13,43,68,52,0.565,0.005
11,7,71,58,0.675,0.245
14,20,52,80,0.67,0.005
13,16,69,56,0.705,0.005
15,48,49,52,NA,0.005
15,34,69,52,0.89,0.005
14,25,68,52,0.67,0.005
15,11,57,68,0.665,0.005
16,3,68,52,0.91,0.005
12,7,71,52,0.61,0.005
16,48,66,52,0.605,0.005
15,39,70,52,0.585,0.005
17,3,68,52,0.615,0.005
15,25,69,52,0.805,0.005
16,34,52,73,0.6,0.005
13,7,71,52,0.51,0.005
17,48,52,52,0.78,0.005
15,20,69,90,0.76,0.005
14,43,71,52,0.53,0.005
16,25,52,52,1,0.005
16,11,67,52,0.525,0.005
2,3,52,58,1,1
14,16,59,52,1,0.015
14,7,68,52,0.68,0.005
2,48,52,58,1,1
15,43,69,52,0.97,0.005
17,25,57,52,0.835,0.005
17,34,52,63,0.925,0.005
3,3,52,58,1,1
16,39,52,88,0.575,0.005
15,16,52,52,0.555,0.005
3,48,52,52,0.795,0.795
16,20,52,52,0.525,0.005
2,25,52,58,1,1
4,3,52,58,1,1
16,16,56,52,0.76,0.005
4,48,52,52,0.945,0.43
17,11,66,61,0.665,0.005
2,34,52,58,1,1
16,43,57,52,0.97,0.005
15,7,52,80,1,0.005
3,25,52,52,0.995,0.995
17,16,58,52,0.915,0.005
5,48,52,58,0.975,0.975
17,43,67,52,0.545,0.005
17,39,59,52,1,0.005
3,34,52,58,1,1
5,3,52,52,0.995,0.995
4,25,52,58,1,1
2,16,52,52,0.94,0.94
17,20,66,52,0.53,0.005
6,48,52,58,0.995,0.995
2,43,52,58,1,1
16,7,66,52,0.52,0.005
2,11,52,58,1,1
3,16,52,52,0.82,0.82
2,39,52,58,1,1
